ID;Verein;Position;Marktwert TM;TM-Stärke;exp_games;Erwartete Spiele (TM);exp_gd;Erwartete Tordifferenz (TM)
pl-k00125107;Katar;GOALKEEPER;;0.0;3.194;0.0;-5.532;-0.0
pl-k00125116;Saudi-Arabien;DEFENDER;;0.0;3.316;0.0;-5.57;-0.0
pl-k00125119;Saudi-Arabien;MIDFIELDER;;0.0;3.316;0.0;-5.57;-0.0
pl-k00125123;Saudi-Arabien;FORWARD;650000;0.2167;3.316;0.7185;-5.57;-1.2068
pl-k00125129;Tunesien;DEFENDER;800000;0.0889;3.434;0.3052;-3.766;-0.3348
pl-k00125171;England;MIDFIELDER;65000000;0.4062;5.687;2.3103;6.383;2.5931
pl-k00125181;Frankreich;FORWARD;130000000;0.7222;6.141;4.4352;7.58;5.4744
pl-k00125266;Kap Verde;DEFENDER;18000000;1.0;3.272;3.272;-5.876;-5.876
pl-k00125269;Österreich;MIDFIELDER;15000000;0.4688;4.129;1.9355;-1.1;-0.5156
pl-k00125275;Schottland;DEFENDER;28000000;0.6222;4.12;2.5636;-0.984;-0.6123
pl-k00125311;Schottland;FORWARD;2500000;0.0556;4.12;0.2289;-0.984;-0.0547
pl-k00125406;Schottland;FORWARD;2800000;0.0622;4.12;0.2564;-0.984;-0.0612
pl-k00125655;Ghana;GOALKEEPER;300000;0.0046;3.144;0.0145;-6.374;-0.0294
pl-k00125842;Kanada;DEFENDER;8000000;0.16;4.653;0.7445;1.822;0.2915
pl-k00125872;USA;MIDFIELDER;;0.0;3.74;0.0;-2.316;-0.0
pl-k00125875;Kanada;DEFENDER;;0.0;4.653;0.0;1.822;0.0
pl-k00125972;Curacao;MIDFIELDER;800000;0.1778;3.121;0.5548;-6.73;-1.1964
pl-k00126071;Australien;FORWARD;1700000;0.2833;4.066;1.152;-0.993;-0.2814
pl-k00126161;Japan;MIDFIELDER;15000000;0.5;4.848;2.424;1.906;0.953
pl-k00126190;Marokko;MIDFIELDER;10000000;0.125;4.418;0.5522;0.331;0.0414
pl-k00126192;Usbekistan;FORWARD;1000000;0.0286;3.684;0.1053;-2.905;-0.083
pl-k00126214;Belgien;DEFENDER;22000000;0.3385;4.876;1.6503;2.814;0.9524
pl-k00126539;Kolumbien;MIDFIELDER;;0.0;5.21;0.0;3.512;0.0
pl-k00126579;Ecuador;DEFENDER;70000000;0.6364;5.04;3.2073;4.088;2.6015
pl-k00126584;Ecuador;DEFENDER;5000000;0.0455;5.04;0.2291;4.088;0.1858
pl-k00126585;Ecuador;MIDFIELDER;;0.0;5.04;0.0;4.088;0.0
pl-k00126589;Ecuador;MIDFIELDER;110000000;1.0;5.04;5.04;4.088;4.088
pl-k00126598;Kroatien;FORWARD;8000000;0.1143;4.93;0.5634;2.779;0.3176
pl-k00126697;Ecuador;MIDFIELDER;1000000;0.0091;5.04;0.0458;4.088;0.0372
pl-k00126826;Uruguay;FORWARD;7000000;0.0583;4.672;0.2725;1.55;0.0904
pl-k00126831;Argentinien;MIDFIELDER;85000000;0.85;5.991;5.0924;8.658;7.3593
pl-k00126882;Uruguay;MIDFIELDER;9000000;0.075;4.672;0.3504;1.55;0.1162
pl-k00126894;Paraguay;DEFENDER;4000000;0.16;4.452;0.7123;0.178;0.0285
pl-k00128521;Kolumbien;MIDFIELDER;;0.0;5.21;0.0;3.512;0.0
pl-k00128608;Südkorea;GOALKEEPER;;0.0;4.339;0.0;0.171;0.0
pl-k00128763;Usbekistan;DEFENDER;800000;0.0229;3.684;0.0842;-2.905;-0.0664
pl-k00128790;Schweiz;GOALKEEPER;;0.0;5.181;0.0;4.737;0.0
pl-k00128826;Usbekistan;MIDFIELDER;;0.0;3.684;0.0;-2.905;-0.0
pl-k00128894;Südkorea;MIDFIELDER;;0.0;4.339;0.0;0.171;0.0
pl-k00128987;Portugal;DEFENDER;38000000;0.3455;5.302;1.8316;3.99;1.3784
pl-k00129004;Südkorea;DEFENDER;;0.0;4.339;0.0;0.171;0.0
pl-k00129073;Kolumbien;FORWARD;3500000;0.05;5.21;0.2605;3.512;0.1756
pl-k00129218;Schweiz;MIDFIELDER;32000000;0.8;5.181;4.1448;4.737;3.7896
pl-k00129278;Senegal;MIDFIELDER;6000000;0.1333;4.598;0.6131;0.171;0.0228
pl-k00129313;Kap Verde;MIDFIELDER;3000000;0.1667;3.272;0.5453;-5.876;-0.9793
pl-k00129317;Portugal;DEFENDER;45000000;0.4091;5.302;2.169;3.99;1.6323
pl-k00129372;Kolumbien;DEFENDER;27000000;0.3857;5.21;2.0096;3.512;1.3546
pl-k00129414;Belgien;DEFENDER;24000000;0.3692;4.876;1.8004;2.814;1.039
pl-k00129425;Schottland;FORWARD;8000000;0.1778;4.12;0.7324;-0.984;-0.1749
pl-k00129671;Deutschland;DEFENDER;35000000;0.2692;5.097;1.3723;3.97;1.0688
pl-k00129904;Usbekistan;MIDFIELDER;;0.0;3.684;0.0;-2.905;-0.0
pl-k00130230;Brasilien;FORWARD;24000000;0.1333;5.351;0.7135;5.126;0.6835
pl-k00130252;Österreich;MIDFIELDER;16000000;0.5;4.129;2.0645;-1.1;-0.55
pl-k00130288;Mexiko;MIDFIELDER;;0.0;4.905;0.0;2.864;0.0
pl-k00130356;Frankreich;DEFENDER;35000000;0.1944;6.141;1.1941;7.58;1.4739
pl-k00130453;Schottland;DEFENDER;;0.0;4.12;0.0;-0.984;-0.0
pl-k00130586;Kroatien;MIDFIELDER;10000000;0.1429;4.93;0.7043;2.779;0.397
pl-k00130739;Elfenbeinküste;DEFENDER;9000000;0.18;3.89;0.7002;-2.143;-0.3857
pl-k00130790;Türkei;MIDFIELDER;12000000;0.2667;4.976;1.3269;2.252;0.6005
pl-k00130792;Senegal;FORWARD;3500000;0.0778;4.598;0.3576;0.171;0.0133
pl-k00130795;Norwegen;MIDFIELDER;4500000;0.0225;4.789;0.1078;0.91;0.0205
pl-k00131106;Südkorea;FORWARD;1800000;0.072;4.339;0.3124;0.171;0.0123
pl-k00131344;Türkei;DEFENDER;5000000;0.1111;4.976;0.5529;2.252;0.2502
pl-k00131539;Kroatien;DEFENDER;70000000;1.0;4.93;4.93;2.779;2.779
pl-k00131547;Tschechien;FORWARD;4000000;0.16;4.198;0.6717;-0.433;-0.0693
pl-k00131579;Haiti;FORWARD;300000;0.0167;3.218;0.0536;-5.302;-0.0884
pl-k00131658;Irak;MIDFIELDER;;0.0;3.185;0.0;-5.568;-0.0
pl-k00131688;Bosnien-Herzegowina;DEFENDER;;0.0;3.738;0.0;-2.61;-0.0
pl-k00131702;Kroatien;DEFENDER;17000000;0.2429;4.93;1.1973;2.779;0.6749
pl-k00131780;Türkei;FORWARD;22000000;0.4889;4.976;2.4327;2.252;1.101
pl-k00131834;Ecuador;GOALKEEPER;;0.0;5.04;0.0;4.088;0.0
pl-k00131847;Irak;MIDFIELDER;250000;0.0833;3.185;0.2654;-5.568;-0.464
pl-k00131854;England;MIDFIELDER;60000000;0.375;5.687;2.1326;6.383;2.3936
pl-k00131930;Schweiz;MIDFIELDER;8000000;0.2;5.181;1.0362;4.737;0.9474
pl-k00131945;Frankreich;DEFENDER;35000000;0.1944;6.141;1.1941;7.58;1.4739
pl-k00132051;Brasilien;MIDFIELDER;22000000;0.1222;5.351;0.654;5.126;0.6265
pl-k00132098;Belgien;DEFENDER;12000000;0.1846;4.876;0.9002;2.814;0.5195
pl-k00132107;Marokko;MIDFIELDER;32000000;0.4;4.418;1.7672;0.331;0.1324
pl-k00132159;Ghana;DEFENDER;3000000;0.0462;3.144;0.1451;-6.374;-0.2942
pl-k00132220;Tschechien;MIDFIELDER;;0.0;4.198;0.0;-0.433;-0.0
pl-k00132314;Paraguay;FORWARD;;0.0;4.452;0.0;0.178;0.0
pl-k00132423;Paraguay;GOALKEEPER;;0.0;4.452;0.0;0.178;0.0
pl-k00132544;Haiti;GOALKEEPER;100000;0.0056;3.218;0.0179;-5.302;-0.0295
pl-k00132694;Australien;DEFENDER;5000000;0.8333;4.066;3.3883;-0.993;-0.8275
pl-k00132741;Elfenbeinküste;FORWARD;12000000;0.24;3.89;0.9336;-2.143;-0.5143
pl-k00132788;Schweden;DEFENDER;13000000;0.1083;3.796;0.4112;-2.337;-0.2532
pl-k00132797;Norwegen;DEFENDER;;0.0;4.789;0.0;0.91;0.0
pl-k00132802;Tunesien;FORWARD;300000;0.0333;3.434;0.1145;-3.766;-0.1255
pl-k00132816;Kroatien;MIDFIELDER;;0.0;4.93;0.0;2.779;0.0
pl-k00133004;Spanien;FORWARD;60000000;0.5;6.547;3.2735;13.21;6.605
pl-k00133116;Uruguay;MIDFIELDER;30000000;0.25;4.672;1.168;1.55;0.3875
pl-k00133182;Ecuador;DEFENDER;;0.0;5.04;0.0;4.088;0.0
pl-k00133238;Portugal;FORWARD;30000000;0.2727;5.302;1.446;3.99;1.0882
pl-k00133267;Katar;FORWARD;;0.0;3.194;0.0;-5.532;-0.0
pl-k00133274;Ghana;MIDFIELDER;6000000;0.0923;3.144;0.2902;-6.374;-0.5884
pl-k00133304;Mexiko;FORWARD;;0.0;4.905;0.0;2.864;0.0
pl-k00133309;Ägypten;GOALKEEPER;;0.0;3.951;0.0;-1.446;-0.0
pl-k00133310;Ägypten;DEFENDER;;0.0;3.951;0.0;-1.446;-0.0
pl-k00133311;Ägypten;DEFENDER;;0.0;3.951;0.0;-1.446;-0.0
pl-k00133370;Curacao;FORWARD;800000;0.1778;3.121;0.5548;-6.73;-1.1964
pl-k00133399;Österreich;DEFENDER;;0.0;4.129;0.0;-1.1;-0.0
pl-k00133422;Senegal;FORWARD;45000000;1.0;4.598;4.598;0.171;0.171
pl-k00133439;Südkorea;DEFENDER;;0.0;4.339;0.0;0.171;0.0
pl-k00133529;Senegal;FORWARD;4000000;0.0889;4.598;0.4087;0.171;0.0152
pl-k00133547;Belgien;DEFENDER;30000000;0.4615;4.876;2.2505;2.814;1.2988
pl-k00133569;Japan;GOALKEEPER;;0.0;4.848;0.0;1.906;0.0
pl-k00133609;Österreich;MIDFIELDER;25000000;0.7812;4.129;3.2258;-1.1;-0.8594
pl-k00133745;Südkorea;DEFENDER;700000;0.028;4.339;0.1215;0.171;0.0048
pl-k00133783;Norwegen;MIDFIELDER;14000000;0.07;4.789;0.3352;0.91;0.0637
pl-k00133786;Schweden;DEFENDER;22000000;0.1833;3.796;0.6959;-2.337;-0.4284
pl-k00133862;Australien;MIDFIELDER;;0.0;4.066;0.0;-0.993;-0.0
pl-k00133883;Südkorea;DEFENDER;;0.0;4.339;0.0;0.171;0.0
pl-k00133933;USA;GOALKEEPER;;0.0;3.74;0.0;-2.316;-0.0
pl-k00133968;Kanada;MIDFIELDER;;0.0;4.653;0.0;1.822;0.0
pl-k00134174;Bosnien-Herzegowina;MIDFIELDER;1000000;0.0455;3.738;0.1699;-2.61;-0.1186
pl-k00134218;Tunesien;MIDFIELDER;7000000;0.7778;3.434;2.6709;-3.766;-2.9291
pl-k00134234;Elfenbeinküste;FORWARD;22000000;0.44;3.89;1.7116;-2.143;-0.9429
pl-k00134321;Paraguay;MIDFIELDER;;0.0;4.452;0.0;0.178;0.0
pl-k00134333;Paraguay;MIDFIELDER;11000000;0.44;4.452;1.9589;0.178;0.0783
pl-k00134390;Paraguay;FORWARD;;0.0;4.452;0.0;0.178;0.0
pl-k00134479;Bosnien-Herzegowina;DEFENDER;1200000;0.0545;3.738;0.2039;-2.61;-0.1424
pl-k00134534;Australien;FORWARD;;0.0;4.066;0.0;-0.993;-0.0
pl-k00134779;Belgien;DEFENDER;3500000;0.0538;4.876;0.2626;2.814;0.1515
pl-k00135031;Türkei;FORWARD;45000000;1.0;4.976;4.976;2.252;2.252
pl-k00135040;Bosnien-Herzegowina;FORWARD;;0.0;3.738;0.0;-2.61;-0.0
pl-k00135043;Senegal;DEFENDER;4000000;0.0889;4.598;0.4087;0.171;0.0152
pl-k00135245;Kap Verde;FORWARD;400000;0.0222;3.272;0.0727;-5.876;-0.1306
pl-k00135290;DR Kongo;GOALKEEPER;800000;0.0286;3.371;0.0963;-4.126;-0.1179
pl-k00135346;Schweiz;DEFENDER;6000000;0.15;5.181;0.7772;4.737;0.7106
pl-k00135361;Südkorea;MIDFIELDER;2000000;0.08;4.339;0.3471;0.171;0.0137
pl-k00135484;Ghana;DEFENDER;6000000;0.0923;3.144;0.2902;-6.374;-0.5884
pl-k00135506;Ecuador;FORWARD;3500000;0.0318;5.04;0.1604;4.088;0.1301
pl-k00135523;Türkei;DEFENDER;1200000;0.0267;4.976;0.1327;2.252;0.0601
pl-k00135740;Tunesien;MIDFIELDER;2500000;0.2778;3.434;0.9539;-3.766;-1.0461
pl-k00135744;Türkei;FORWARD;6000000;0.1333;4.976;0.6635;2.252;0.3003
pl-k00135917;Irak;DEFENDER;;0.0;3.185;0.0;-5.568;-0.0
pl-k00136083;Schweiz;FORWARD;9000000;0.225;5.181;1.1657;4.737;1.0658
pl-k00136321;Panama;MIDFIELDER;;0.0;3.879;0.0;-2.104;-0.0
pl-k00136322;Panama;FORWARD;;0.0;3.879;0.0;-2.104;-0.0
pl-k00136435;Österreich;DEFENDER;5000000;0.1562;4.129;0.6452;-1.1;-0.1719
pl-k00136538;Curacao;GOALKEEPER;;0.0;3.121;0.0;-6.73;-0.0
pl-k00136539;Curacao;MIDFIELDER;350000;0.0778;3.121;0.2427;-6.73;-0.5234
pl-k00136686;Haiti;FORWARD;1200000;0.0667;3.218;0.2145;-5.302;-0.3535
pl-k00136687;Haiti;DEFENDER;;0.0;3.218;0.0;-5.302;-0.0
pl-k00136731;Algerien;MIDFIELDER;2000000;0.05;3.705;0.1853;-2.846;-0.1423
pl-k00136758;Ägypten;MIDFIELDER;;0.0;3.951;0.0;-1.446;-0.0
pl-k00136761;Ägypten;MIDFIELDER;;0.0;3.951;0.0;-1.446;-0.0
pl-k00136773;Neuseeland;GOALKEEPER;;0.0;3.48;0.0;-3.434;-0.0
pl-k00136788;Australien;MIDFIELDER;;0.0;4.066;0.0;-0.993;-0.0
pl-k00136888;Niederlande;GOALKEEPER;600000;0.0067;5.268;0.0351;3.773;0.0252
pl-k00136965;Südafrika;MIDFIELDER;;0.0;3.314;0.0;-4.325;-0.0
pl-k00136970;Südafrika;FORWARD;;0.0;3.314;0.0;-4.325;-0.0
pl-k00137012;Saudi-Arabien;MIDFIELDER;75000;0.025;3.316;0.0829;-5.57;-0.1393
pl-k00137164;Haiti;FORWARD;;0.0;3.218;0.0;-5.302;-0.0
pl-k00137173;Tunesien;FORWARD;3500000;0.3889;3.434;1.3354;-3.766;-1.4646
pl-k00137174;Kap Verde;FORWARD;650000;0.0361;3.272;0.1182;-5.876;-0.2122
pl-k00137234;Mexiko;MIDFIELDER;;0.0;4.905;0.0;2.864;0.0
pl-k00137302;Algerien;MIDFIELDER;5000000;0.125;3.705;0.4631;-2.846;-0.3558
pl-k00137337;Algerien;GOALKEEPER;;0.0;3.705;0.0;-2.846;-0.0
pl-k00137656;Türkei;FORWARD;650000;0.0144;4.976;0.0719;2.252;0.0325
pl-k00137667;Türkei;FORWARD;;0.0;4.976;0.0;2.252;0.0
pl-k00137668;Tunesien;MIDFIELDER;1500000;0.1667;3.434;0.5723;-3.766;-0.6277
pl-k00137741;Ghana;DEFENDER;2000000;0.0308;3.144;0.0967;-6.374;-0.1961
pl-k00137760;Senegal;MIDFIELDER;32000000;0.7111;4.598;3.2697;0.171;0.1216
pl-k00137800;Tunesien;FORWARD;;0.0;3.434;0.0;-3.766;-0.0
pl-k00138529;Deutschland;MIDFIELDER;65000000;0.5;5.097;2.5485;3.97;1.985
pl-k00138530;Österreich;MIDFIELDER;14000000;0.4375;4.129;1.8064;-1.1;-0.4813
pl-k00138680;Curacao;MIDFIELDER;1200000;0.2667;3.121;0.8323;-6.73;-1.7947
pl-k00138684;Kanada;MIDFIELDER;14000000;0.28;4.653;1.3028;1.822;0.5102
pl-k00138719;Argentinien;MIDFIELDER;40000000;0.4;5.991;2.3964;8.658;3.4632
pl-k00138744;Spanien;MIDFIELDER;40000000;0.3333;6.547;2.1823;13.21;4.4033
pl-k00138868;Irak;MIDFIELDER;750000;0.25;3.185;0.7962;-5.568;-1.392
pl-k00139020;Bosnien-Herzegowina;FORWARD;;0.0;3.738;0.0;-2.61;-0.0
pl-k00139075;Iran;MIDFIELDER;3500000;1.0;4.3;4.3;-0.05;-0.05
pl-k00139246;Tunesien;MIDFIELDER;;0.0;3.434;0.0;-3.766;-0.0
pl-k00139251;Jordanien;DEFENDER;;0.0;3.484;0.0;-3.906;-0.0
pl-k00139300;Ghana;MIDFIELDER;4000000;0.0615;3.144;0.1935;-6.374;-0.3922
pl-k00139302;Algerien;FORWARD;32000000;0.8;3.705;2.964;-2.846;-2.2768
pl-k00139304;Niederlande;DEFENDER;55000000;0.6111;5.268;3.2193;3.773;2.3057
pl-k00139305;Norwegen;MIDFIELDER;32000000;0.16;4.789;0.7662;0.91;0.1456
pl-k00139390;Südkorea;FORWARD;4500000;0.18;4.339;0.781;0.171;0.0308
pl-k00140663;Marokko;FORWARD;;0.0;4.418;0.0;0.331;0.0
pl-k00140879;Frankreich;FORWARD;70000000;0.3889;6.141;2.3882;7.58;2.9478
pl-k00140950;Marokko;DEFENDER;100000;0.0012;4.418;0.0055;0.331;0.0004
pl-k00140953;Elfenbeinküste;FORWARD;;0.0;3.89;0.0;-2.143;-0.0
pl-k00141046;Türkei;MIDFIELDER;;0.0;4.976;0.0;2.252;0.0
pl-k00141102;Senegal;FORWARD;45000000;1.0;4.598;4.598;0.171;0.171
pl-k00141182;Iran;DEFENDER;;0.0;4.3;0.0;-0.05;-0.0
pl-k00141184;Iran;DEFENDER;;0.0;4.3;0.0;-0.05;-0.0
pl-k00141205;Norwegen;GOALKEEPER;;0.0;4.789;0.0;0.91;0.0
pl-k00141214;Schweden;DEFENDER;5000000;0.0417;3.796;0.1582;-2.337;-0.0974
pl-k00141222;Irak;MIDFIELDER;;0.0;3.185;0.0;-5.568;-0.0
pl-k00141224;Schweden;MIDFIELDER;3000000;0.025;3.796;0.0949;-2.337;-0.0584
pl-k00141284;Frankreich;FORWARD;45000000;0.25;6.141;1.5352;7.58;1.895
pl-k00141360;Türkei;FORWARD;;0.0;4.976;0.0;2.252;0.0
pl-k00141367;Belgien;FORWARD;18000000;0.2769;4.876;1.3503;2.814;0.7793
pl-k00141370;Portugal;MIDFIELDER;110000000;1.0;5.302;5.302;3.99;3.99
pl-k00141474;Mexiko;FORWARD;40000000;1.0;4.905;4.905;2.864;2.864
pl-k00141476;Mexiko;MIDFIELDER;;0.0;4.905;0.0;2.864;0.0
pl-k00141489;Usbekistan;FORWARD;;0.0;3.684;0.0;-2.905;-0.0
pl-k00141559;Marokko;FORWARD;;0.0;4.418;0.0;0.331;0.0
pl-k00141673;Australien;MIDFIELDER;6000000;1.0;4.066;4.066;-0.993;-0.993
pl-k00143231;Australien;DEFENDER;;0.0;4.066;0.0;-0.993;-0.0
pl-k00143329;Belgien;GOALKEEPER;1000000;0.0154;4.876;0.075;2.814;0.0433
pl-k00143335;Irak;MIDFIELDER;3000000;1.0;3.185;3.185;-5.568;-5.568
pl-k00143407;Schweiz;DEFENDER;10000000;0.25;5.181;1.2952;4.737;1.1842
pl-k00143445;Brasilien;DEFENDER;;0.0;5.351;0.0;5.126;0.0
pl-k00143483;England;DEFENDER;40000000;0.25;5.687;1.4218;6.383;1.5958
pl-k00143488;Spanien;DEFENDER;4000000;0.0333;6.547;0.2182;13.21;0.4403
pl-k00143512;Schottland;MIDFIELDER;10000000;0.2222;4.12;0.9156;-0.984;-0.2187
pl-k00143529;Ägypten;DEFENDER;3000000;0.0462;3.951;0.1824;-1.446;-0.0667
pl-k00143531;Ägypten;DEFENDER;;0.0;3.951;0.0;-1.446;-0.0
pl-k00143532;Ägypten;MIDFIELDER;;0.0;3.951;0.0;-1.446;-0.0
pl-k00143569;Neuseeland;DEFENDER;;0.0;3.48;0.0;-3.434;-0.0
pl-k00143575;Marokko;FORWARD;;0.0;4.418;0.0;0.331;0.0
pl-k00143579;Kap Verde;DEFENDER;;0.0;3.272;0.0;-5.876;-0.0
pl-k00143659;Ghana;MIDFIELDER;8000000;0.1231;3.144;0.387;-6.374;-0.7845
pl-k00143899;Elfenbeinküste;FORWARD;5000000;0.1;3.89;0.389;-2.143;-0.2143
pl-k00143945;Haiti;MIDFIELDER;2000000;0.1111;3.218;0.3576;-5.302;-0.5891
pl-k00144041;Brasilien;FORWARD;;0.0;5.351;0.0;5.126;0.0
pl-k00144238;Saudi-Arabien;MIDFIELDER;;0.0;3.316;0.0;-5.57;-0.0
pl-k00144265;Australien;GOALKEEPER;;0.0;4.066;0.0;-0.993;-0.0
pl-k00144394;Japan;DEFENDER;;0.0;4.848;0.0;1.906;0.0
pl-k00144510;Südkorea;DEFENDER;;0.0;4.339;0.0;0.171;0.0
pl-k00144518;Frankreich;FORWARD;90000000;0.5;6.141;3.0705;7.58;3.79
pl-k00144561;USA;DEFENDER;;0.0;3.74;0.0;-2.316;-0.0
pl-k00144605;Kanada;FORWARD;;0.0;4.653;0.0;1.822;0.0
pl-k00144663;Marokko;MIDFIELDER;30000000;0.375;4.418;1.6568;0.331;0.1241
pl-k00144754;Portugal;DEFENDER;25000000;0.2273;5.302;1.205;3.99;0.9068
pl-k00144841;Paraguay;MIDFIELDER;25000000;1.0;4.452;4.452;0.178;0.178
pl-k00144871;Argentinien;DEFENDER;13000000;0.13;5.991;0.7788;8.658;1.1255
pl-k00145410;Ecuador;DEFENDER;6000000;0.0545;5.04;0.2749;4.088;0.223
pl-k00145425;Ecuador;MIDFIELDER;3000000;0.0273;5.04;0.1375;4.088;0.1115
pl-k00145451;Kanada;MIDFIELDER;800000;0.016;4.653;0.0744;1.822;0.0292
pl-k00145456;Mexiko;GOALKEEPER;;0.0;4.905;0.0;2.864;0.0
pl-k00145459;Mexiko;DEFENDER;;0.0;4.905;0.0;2.864;0.0
pl-k00145558;Paraguay;MIDFIELDER;;0.0;4.452;0.0;0.178;0.0
pl-k00145676;Ghana;FORWARD;12000000;0.1846;3.144;0.5804;-6.374;-1.1767
pl-k00145875;Kanada;MIDFIELDER;;0.0;4.653;0.0;1.822;0.0
pl-k00145891;DR Kongo;MIDFIELDER;5000000;0.1786;3.371;0.602;-4.126;-0.7368
pl-k00146019;Algerien;DEFENDER;50000;0.0012;3.705;0.0046;-2.846;-0.0036
pl-k00146045;Marokko;FORWARD;22000000;0.275;4.418;1.215;0.331;0.091
pl-k00146190;Senegal;DEFENDER;25000000;0.5556;4.598;2.5544;0.171;0.095
pl-k00146196;Frankreich;MIDFIELDER;50000000;0.2778;6.141;1.7058;7.58;2.1056
pl-k00146292;Türkei;FORWARD;45000000;1.0;4.976;4.976;2.252;2.252
pl-k00146999;Schweden;DEFENDER;6000000;0.05;3.796;0.1898;-2.337;-0.1168
pl-k00147020;Algerien;DEFENDER;2000000;0.05;3.705;0.1853;-2.846;-0.1423
pl-k00147223;Mexiko;MIDFIELDER;9000000;0.225;4.905;1.1036;2.864;0.6444
pl-k00147419;Ecuador;FORWARD;7000000;0.0636;5.04;0.3207;4.088;0.2601
pl-k00147623;Curacao;FORWARD;;0.0;3.121;0.0;-6.73;-0.0
pl-k00147672;Tschechien;DEFENDER;4500000;0.18;4.198;0.7556;-0.433;-0.0779
pl-k00147673;Tschechien;DEFENDER;;0.0;4.198;0.0;-0.433;-0.0
pl-k00147699;Tschechien;MIDFIELDER;;0.0;4.198;0.0;-0.433;-0.0
pl-k00147716;Tschechien;FORWARD;;0.0;4.198;0.0;-0.433;-0.0
pl-k00147775;Tschechien;DEFENDER;;0.0;4.198;0.0;-0.433;-0.0
pl-k00147820;Elfenbeinküste;DEFENDER;45000000;0.9;3.89;3.501;-2.143;-1.9287
pl-k00147890;Tschechien;DEFENDER;7000000;0.28;4.198;1.1754;-0.433;-0.1212
pl-k00147896;Algerien;DEFENDER;;0.0;3.705;0.0;-2.846;-0.0
pl-k00147948;Elfenbeinküste;GOALKEEPER;800000;0.016;3.89;0.0622;-2.143;-0.0343
pl-k00147960;Haiti;FORWARD;3500000;0.1944;3.218;0.6257;-5.302;-1.0309
pl-k00148046;DR Kongo;DEFENDER;;0.0;3.371;0.0;-4.126;-0.0
pl-k00148180;DR Kongo;DEFENDER;3500000;0.125;3.371;0.4214;-4.126;-0.5158
pl-k00148187;Algerien;MIDFIELDER;15000000;0.375;3.705;1.3894;-2.846;-1.0672
pl-k00148383;Kap Verde;DEFENDER;;0.0;3.272;0.0;-5.876;-0.0
pl-k00148545;Algerien;FORWARD;600000;0.015;3.705;0.0556;-2.846;-0.0427
pl-k00148588;Norwegen;MIDFIELDER;;0.0;4.789;0.0;0.91;0.0
pl-k00148743;DR Kongo;GOALKEEPER;700000;0.025;3.371;0.0843;-4.126;-0.1032
